Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector,ROE_Adjusted,ROE_Flag,OCF_Category,Cash_Flow_Margin_Adj,JPMorgan_OCF_Note,Has_Financial_Data,Data_Period_Note,Revenue_YoY_Growth,Revenue_TTM,Net_Income_TTM,Operating_Cash_Flow_TTM,Profit_Margin_Clean,FHS_PM_Score,FHS_CFM_Score,ROE_for_FHS,FHS_V2
Apple,320193,10-Q,2024-08-02,2023-06-30,2023,2,81797000000.0,128721000000.0,22998000000.0,19881000000.0,88945000000.0,60274000000.0,24.305292370135824,157.3664070809443,28.115945572576013,32.984371370740284,108.73870679853783,Technology,32.984371370740284,,Operating,,,1,Q2 2023,-1.4,657030000000.0,124705000000.0,330905000000.0,24.305292370135824,59.09306671684254,0.0,32.984371370740284,40.1
Apple,320193,10-Q,2025-08-01,2024-06-30,2024,2,296105000000.0,136804000000.0,25352000000.0,21448000000.0,91443000000.0,66708000000.0,7.243376504956012,46.20117863595684,8.5618277300282,32.15206571925406,30.88195065939447,Technology,32.15206571925406,,Operating,30.88195065939447,,1,Q2 2024,262.0,743318000000.0,134900000000.0,362250000000.0,7.243376504956012,2.7157251826708078,38.07922629871891,32.15206571925406,28.6
Apple,320193,10-Q,2025-08-01,2025-06-30,2025,2,313695000000.0,146860000000.0,100623000000.0,84544000000.0,81754000000.0,65830000000.0,26.951019302188435,46.816174947002665,32.07669870415531,128.42776849460734,26.061620363729094,Technology,32.106942123651834,TTM_Anomaly,Operating,26.061620363729094,,1,Q2 2025,5.94,774556000000.0,145315000000.0,360166000000.0,26.951019302188435,38.89197291667756,44.92718641968905,32.106942123651834,45.1
Apple,320193,10-Q,2022-07-29,2020-09-30,2020,3,,,,,,65339000000.0,,,,,,Technology,,,Operating,,,0,Q3 2020 - Balance Sheet Only,,691597000000.0,125873000000.0,262142000000.0,,,,,
Apple,320193,10-Q,2023-08-04,2021-09-30,2021,3,,,,,,63090000000.0,,,,,,Technology,,,Operating,,,0,Q3 2021 - Balance Sheet Only,,609800000000.0,105992000000.0,173197000000.0,,,,,
Apple,320193,10-Q,2024-08-02,2022-09-30,2022,3,,,,,,50672000000.0,,,,,,Technology,,,Operating,,,0,Q3 2022 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2025-08-01,2023-09-30,2023,3,,,,,,62146000000.0,,,,,,Technology,,,Operating,,,0,Q3 2023 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2025-08-01,2024-09-30,2024,3,,,,,,56950000000.0,,,,,,Technology,,,Operating,,,0,Q3 2024 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2022-04-29,2020-12-31,2020,4,,,,,,66224000000.0,,,,,,Technology,,,Operating,,,0,Q4 2020 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2023-05-05,2021-12-31,2021,4,,,,,,71932000000.0,,,,,,Technology,,,Operating,,,0,Q4 2021 - Balance Sheet Only,,,,,,,,,
Apple,320193,10-Q,2024-05-03,2022-12-31,2022,4,,,,,,56727000000.0,,,,,,Technology,,,Operating,,,0,Q4 2022 - Balance Sheet Only,,,,,,,,,
